PID  PPID STAT    RSS COMM
  639     1 S     12064 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  640     1 S     10624 /System/Library/CoreServices/RemoteManagement/SSMenuAgent.app/Contents/MacOS/SSMenuAgent
  658     1 S     59200 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  665     1 S     11728 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  666     1 Ss     1392 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  667     1 Ss    12432 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
  676     1 S      2000 /usr/sbin/distnoted
  689     1 S     11248 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  697     1 S     17552 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem
  700     1 S     19856 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  701   549 S     36496 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
  714     1 S     11536 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  725     1 S     37952 /usr/libexec/duetexpertd
  727     1 Ss    12560 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
  731     1 Ss     5344 /System/Library/CoreServices/ControlCenter.app/Contents/PlugIns/DisplayControls.appex/Contents/MacOS/DisplayControls
  749   549 S     32912 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
  757   549 S     47920 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper
  773     1 Ss     6688 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  780     1 Ss     9968 /Applications/CodexBar.app/Contents/PlugIns/CodexBarWidget.appex/Contents/MacOS/CodexBarWidget
  793     1 Ss     4480 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
  843     1 S      7824 /usr/libexec/avconferenced
  846     1 S      2144 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  854     1 Ss     5456 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
